over1717.1710_UHM102.10840__k141_51827_1	K18555
over1717.1710_UHM27.10829__k141_21139_1	NA
over1717.1710_UHM38.35752__k141_218273_1	NA
over1717.1710_UHM38.35752__k141_206128_45	K00525
over1717.1710_UHM38.35752__k141_71424_7	K00809
over1717.1710_UHM40.10834__k141_94863_1	NA
over1717.1710_UHM41.10835__k141_14617_143	K03439
over1717.1710_UHM56.35760__k141_4098_186	NA
over1717.1710_UHM72.35762__k141_85609_48	K05711
over1717.1710_UHM72.35762__k141_71335_1	NA
over1717.1710_UHM72.35764__k141_79117_53	K03070
over1717.1710_UHM145.35771__k141_42727_6	K02519
over1717.1710_UHM145.35771__k141_68015_1	NA
over1717.1710_UHM18.35742__k141_97909_1	NA
over1717.1710_UHM18.35742__k141_57542_63	NA
over1717.1710_UHM18.35742__k141_215974_65	K03650
over1717.1710_UHM22.35745__k141_50516_407	NA
over1717.1710_UHM22.35746__k141_145130_7	K07165
over1717.1710_UHM22.35746__k141_45148_38	K03587
over1717.1710_UHM22.35747__k141_56395_76	NA
over1717.1710_UHM22.35747__k141_85689_2	K03046
over1717.1710_UHM31.35749__k141_31883_86	NA
over1717.1710_UHM36.10832__k141_43607_1	NA
over1717.1710_UHM40.35754__k141_35242_1	NA
over1717.1710_UHM40.35754__k141_33931_5	NA
over1717.1710_UHM44.10837__k141_19083_12	NA
over1717.1710_UHM72.35763__k141_25216_80	K00656
over1717.1710_UHM72.35763__k141_10304_7	K03106
over1717.1710_UHM72.35763__k141_85712_284	NA
over1717.1710_UHM72.35764__k141_128716_27	NA
over1717.1710_UHM125.35770__k141_274401_33	K13735
over1717.1710_UHM125.35770__k141_274401_33	K20276
over1717.1710_UHM125.35770__k141_322834_1	NA
over1717.1710_UHM145.35773__k141_61235_1	NA
over1717.1710_UHM145.35773__k141_147490_1	NA
over1717.1710_UHM18.35741__k141_58807_2	NA
over1717.1710_UHM22.35745__k141_103983_1	NA
over1717.1710_UHM22.35746__k141_97825_73	K05989
over1717.1710_UHM22.35746__k141_92521_5	K01449
over1717.1710_UHM22.35746__k141_148235_3	NA
over1717.1710_UHM22.35747__k141_125838_23	K00248
over1717.1710_UHM22.35747__k141_125838_23	K00249
over1717.1710_UHM22.35747__k141_125838_215	K04079
over1717.1710_UHM27.10829__k141_15962_3	NA
over1717.1710_UHM36.10832__k141_110204_80	NA
over1717.1710_UHM38.35752__k141_47157_1	NA
over1717.1710_UHM38.35752__k141_199269_1	NA
over1717.1710_UHM40.35754__k141_17771_1	NA
over1717.1710_UHM41.35756__k141_63966_5	NA
over1717.1710_UHM56.10839__k141_40489_916	NA
over1717.1710_UHM56.35761__k141_42493_33	NA
over1717.1710_UHM72.35762__k141_64607_20	NA
over1717.1710_UHM72.35763__k141_55223_323	K07004
over1717.1710_UHM72.35763__k141_55223_323	K11751
over1717.1710_UHM125.35768__k141_61905_2	K03168
over1717.1710_UHM145.35771__k141_55865_131	K05540
over1717.1710_UHM145.35771__k141_43088_1	NA
over1717.1710_UHM145.35772__k141_69413_1	NA
over1717.1710_UHM145.35772__k141_70997_1	NA
over1717.1710_UHM145.35773__k141_90549_1	NA
over1717.1710_UHM145.35773__k141_101278_2	K02986
over1717.1710_UHM18.35742__k141_179630_7	NA
over1717.1710_UHM18.35742__k141_74486_3	NA
over1717.1710_UHM22.35745__k141_45856_140	K03168
over1717.1710_UHM33.10831__k141_14956_175	K03521
over1717.1710_UHM36.10832__k141_127925_74	K07003
over1717.1710_UHM36.35751__k141_80626_1	NA
over1717.1710_UHM38.10833__k141_44433_3	K09022
over1717.1710_UHM38.35752__k141_131199_1	NA
over1717.1710_UHM40.35754__k141_126792_2	K07795
over1717.1710_UHM41.35757__k141_45942_8	K13735
over1717.1710_UHM72.35762__k141_81619_1	K01433
over1717.1710_UHM72.35763__k141_15439_1	NA
over1717.1710_UHM72.35764__k141_38198_1	NA
over1717.1710_UHM145.35771__k141_44824_1	NA
over1717.1710_UHM145.35773__k141_206192_2	K02020
over1717.1710_UHM145.35773__k141_228348_1	NA
over1717.1710_UHM17.10826__k141_234060_1	NA
over1717.1710_UHM18.10827__k141_95151_3	K01992
over1717.1710_UHM18.10827__k141_65165_2	K16844
over1717.1710_UHM18.35742__k141_167709_116	K07795
over1717.1710_UHM22.35745__k141_50516_570	NA
over1717.1710_UHM22.35746__k141_40566_38	K02198
over1717.1710_UHM31.10830__k141_30522_1	NA
over1717.1710_UHM40.35754__k141_45090_1	K00573
over1717.1710_UHM41.35757__k141_81511_43	NA
over1717.1710_UHM56.35760__k141_118278_200	NA
over1717.1710_UHM72.35762__k141_100344_1	NA
over1717.1710_UHM72.35763__k141_67839_4	K05592
over1717.1710_UHM739.35775__k141_409583_1	NA
over1717.1710_UHM740.35774__k141_548046_2	K09889
over1717.1710_UHM145.35773__k141_107865_1	NA
over1717.1710_UHM20.35743__k141_124265_2	K00241
over1717.1710_UHM31.10830__k141_87349_2	K01588
over1717.1710_UHM31.35749__k141_154691_7	K00609
over1717.1710_UHM45.35759__k141_116153_1	NA
over1717.1710_UHM45.35759__k141_84608_14	K15125
over1717.1710_UHM72.35764__k141_84228_13	K13735
over1717.1710_UHM72.35764__k141_107495_18	K07638
over1717.1710_UHM72.35764__k141_163677_39	K11927
over1717.1710_UHM72.35764__k141_122950_1	K01962
over1717.1710_UHM739.35775__k141_251243_2	NA
over1717.1710_UHM102.35767__k141_25677_1	K11249
over1717.1710_UHM125.35769__k141_205301_1	NA
over1717.1710_UHM145.35771__k141_18509_1	NA
over1717.1710_UHM145.35772__k141_7016_1	NA
over1717.1710_UHM145.35773__k141_205738_1	NA
over1717.1710_UHM145.35773__k141_145013_1	NA
over1717.1710_UHM17.10826__k141_155147_1	NA
over1717.1710_UHM18.35742__k141_2122_107	K03466
over1717.1710_UHM36.10832__k141_108643_4	K13609
over1717.1710_UHM36.35750__k141_50330_1	NA
over1717.1710_UHM36.35750__k141_105733_1	NA
over1717.1710_UHM38.35752__k141_68789_19	NA
over1717.1710_UHM40.35754__k141_69667_1	NA
over1717.1710_UHM40.35755__k141_122050_1	NA
over1717.1710_UHM56.35761__k141_105993_2	NA
over1717.1710_UHM739.35775__k141_2043_1	NA
over1717.1710_UHM739.35775__k141_435386_1	K05995
over1717.1710_UHM145.35771__k141_123337_1	NA
over1717.1710_UHM145.35773__k141_152860_2	NA
over1717.1710_UHM20.35744__k141_58594_1	K21908
over1717.1710_UHM22.35745__k141_118979_1	NA
over1717.1710_UHM22.35746__k141_90656_36	K02996
over1717.1710_UHM22.35747__k141_60070_93	K03615
over1717.1710_UHM22.35747__k141_125838_188	K06861
over1717.1710_UHM31.35749__k141_101151_18	NA
over1717.1710_UHM38.35752__k141_99278_1	NA
over1717.1710_UHM38.35752__k141_238976_1	NA
over1717.1710_UHM72.35762__k141_95400_217	K03168
over1717.1710_UHM72.35763__k141_85712_130	NA
over1717.1710_UHM72.35764__k141_62515_118	K00548
over1717.1710_UHM740.35774__k141_1183454_1	NA
over1717.1710_UHM102.35766__k141_168469_3	K01719
over1717.1710_UHM145.35771__k141_83840_1	NA
over1717.1710_UHM145.35771__k141_79850_221	K02198
over1717.1710_UHM145.35771__k141_107729_6	K00548
over1717.1710_UHM145.35772__k141_82455_2	NA
over1717.1710_UHM17.10826__k141_81599_1	K14415
over1717.1710_UHM17.10826__k141_83956_1	NA
over1717.1710_UHM18.35741__k141_90906_1	K11720
over1717.1710_UHM18.35741__k141_113909_1	NA
over1717.1710_UHM18.35741__k141_129565_1	K15633
over1717.1710_UHM18.35741__k141_25533_1	NA
over1717.1710_UHM22.35745__k141_58277_1	NA
over1717.1710_UHM36.10832__k141_65625_1	K02013
over1717.1710_UHM36.35750__k141_58241_332	K02994
over1717.1710_UHM38.10833__k141_53827_1	NA
over1717.1710_UHM40.10834__k141_115540_1	K00382
over1717.1710_UHM40.10834__k141_118477_2	NA
over1717.1710_UHM43.10836__k141_146476_130	NA
over1717.1710_UHM56.35760__k141_5171_1	NA
over1717.1710_UHM56.35761__k141_83381_18	NA
over1717.1710_UHM56.35761__k141_511_341	K13735
over1717.1710_UHM56.35761__k141_98595_37	NA
over1717.1710_UHM72.35763__k141_18370_1	NA
over1717.1710_UHM740.35774__k141_978264_1	K15738
over1717.1710_UHM18.10827__k141_80606_2	NA
over1717.1710_UHM18.35741__k141_28775_4	K13735
over1717.1710_UHM18.35741__k141_11422_2	NA
over1717.1710_UHM18.35741__k141_48373_1	NA
over1717.1710_UHM18.35741__k141_30347_1	NA
over1717.1710_UHM18.35742__k141_132673_1	NA
over1717.1710_UHM18.35742__k141_19870_1	NA
over1717.1710_UHM31.10830__k141_96932_1	NA
over1717.1710_UHM33.10831__k141_105726_1	K01223
over1717.1710_UHM36.10832__k141_49558_2	NA
over1717.1710_UHM40.10834__k141_88401_3	NA
over1717.1710_UHM40.35754__k141_8671_1	K02836
over1717.1710_UHM41.10835__k141_69402_1	NA
over1717.1710_UHM56.35761__k141_209771_1	K03521
over1717.1710_UHM72.35762__k141_83813_429	K03406
over1717.1710_UHM72.35762__k141_97611_2	NA
over1717.1710_UHM740.35774__k141_83746_5	K06165
over1717.1710_UHM740.35774__k141_83746_5	K06166
over1717.1710_UHM125.35768__k141_109762_1	NA
over1717.1710_UHM125.35770__k141_10648_1	K02298
over1717.1710_UHM18.35741__k141_31876_11	NA
over1717.1710_UHM18.35741__k141_122594_1	NA
over1717.1710_UHM20.35743__k141_95188_1	NA
over1717.1710_UHM22.35745__k141_60579_324	NA
over1717.1710_UHM27.10829__k141_125444_1	NA
over1717.1710_UHM31.10830__k141_52375_1	K02410
over1717.1710_UHM38.35752__k141_30059_2	NA
over1717.1710_UHM40.35754__k141_120335_1	NA
over1717.1710_UHM41.35756__k141_87886_116	K01458
over1717.1710_UHM739.35775__k141_196662_2	NA
over1717.1710_UHM145.35771__k141_139399_1	NA
over1717.1710_UHM145.35771__k141_62818_1	NA
over1717.1710_UHM17.10826__k141_172254_1	NA
over1717.1710_UHM17.10826__k141_97085_22	NA
over1717.1710_UHM18.10827__k141_141674_7	NA
over1717.1710_UHM18.35741__k141_89196_1	NA
over1717.1710_UHM18.35741__k141_85650_1	NA
over1717.1710_UHM20.35743__k141_116270_59	NA
over1717.1710_UHM20.35744__k141_59174_1	NA
over1717.1710_UHM20.35744__k141_172681_5	K01531
over1717.1710_UHM22.35745__k141_13539_1	NA
over1717.1710_UHM31.35748__k141_108611_1	NA
over1717.1710_UHM36.35750__k141_26669_24	K20975
over1717.1710_UHM36.35750__k141_61669_26	NA
over1717.1710_UHM38.10833__k141_47914_2	K03569
over1717.1710_UHM72.35762__k141_9489_1	NA
over1717.1710_UHM145.35771__k141_55467_1	NA
over1717.1710_UHM145.35772__k141_112416_1	NA
over1717.1710_UHM145.35773__k141_228942_1	NA
over1717.1710_UHM17.10826__k141_231697_2	NA
over1717.1710_UHM18.35742__k141_154957_1	NA
over1717.1710_UHM20.35743__k141_99080_1	NA
over1717.1710_UHM22.35745__k141_104659_2	K01955
over1717.1710_UHM22.35747__k141_42361_691	K03296
over1717.1710_UHM31.10830__k141_30733_2	NA
over1717.1710_UHM36.10832__k141_37225_1	NA
over1717.1710_UHM36.10832__k141_14280_1	K07307
over1717.1710_UHM36.35750__k141_55800_10	NA
over1717.1710_UHM38.10833__k141_40376_1	K01879
over1717.1710_UHM38.35752__k141_148507_1	NA
over1717.1710_UHM40.35754__k141_48498_1	NA
over1717.1710_UHM72.35762__k141_29069_2	NA
over1717.1710_UHM740.35774__k141_1179440_1	NA
over1717.1710_UHM145.35773__k141_130971_2	K06891
over1717.1710_UHM17.10826__k141_234216_1	K02015
over1717.1710_UHM18.10827__k141_50600_7	NA
over1717.1710_UHM18.10827__k141_142030_1	NA
over1717.1710_UHM18.35741__k141_37926_4	NA
over1717.1710_UHM18.35742__k141_54383_68	K01697
over1717.1710_UHM20.35743__k141_111831_1	K00053
over1717.1710_UHM20.35744__k141_135470_1	K03500
over1717.1710_UHM20.35744__k141_156762_2	NA
over1717.1710_UHM22.35745__k141_36396_1	K13378
over1717.1710_UHM22.35746__k141_149942_70	K07687
over1717.1710_UHM22.35746__k141_29543_148	NA
over1717.1710_UHM27.10829__k141_26971_1	K03088
over1717.1710_UHM27.10829__k141_26971_1	K23514
over1717.1710_UHM31.10830__k141_82085_2	NA
over1717.1710_UHM31.10830__k141_30733_3	NA
over1717.1710_UHM38.35752__k141_165377_1	NA
over1717.1710_UHM38.35752__k141_81208_1	NA
over1717.1710_UHM38.35752__k141_155666_6	NA
over1717.1710_UHM40.35755__k141_119772_1	NA
over1717.1710_UHM72.35762__k141_37142_25	K00370
over1717.1710_UHM72.35762__k141_41051_1	NA
over1717.1710_UHM739.35775__k141_267804_1	NA
over1717.1710_UHM102.35766__k141_164752_1	NA
over1717.1710_UHM145.35771__k141_135260_1	NA
over1717.1710_UHM145.35771__k141_57774_17	NA
over1717.1710_UHM145.35772__k141_107897_1	NA
over1717.1710_UHM145.35773__k141_231688_76	NA
over1717.1710_UHM18.10827__k141_86874_1	K08088
over1717.1710_UHM18.10827__k141_26542_1	NA
over1717.1710_UHM18.35741__k141_4849_2	NA
over1717.1710_UHM18.35741__k141_83315_1	NA
over1717.1710_UHM18.35742__k141_154964_299	K07795
over1717.1710_UHM20.35743__k141_53863_23	NA
over1717.1710_UHM27.10829__k141_28559_2	NA
over1717.1710_UHM31.10830__k141_45409_65	NA
over1717.1710_UHM31.10830__k141_85034_1	NA
over1717.1710_UHM33.10831__k141_53809_253	K02343
over1717.1710_UHM36.10832__k141_112416_1	K00615
over1717.1710_UHM36.35751__k141_50824_1	NA
over1717.1710_UHM38.10833__k141_49605_1	NA
over1717.1710_UHM38.35752__k141_71503_2	NA
over1717.1710_UHM40.10834__k141_120181_1	K01893
over1717.1710_UHM72.35762__k141_84109_1	NA
over1717.1710_UHM72.35764__k141_19527_319	K03406
over1717.1710_UHM72.35764__k141_97529_1	NA
over1717.1710_UHM740.35774__k141_1542267_46	K01889
over1717.1710_UHM740.35774__k141_95542_2	NA
over1717.1710_UHM145.35773__k141_84295_2	NA
over1717.1710_UHM18.10827__k141_128846_1	NA
over1717.1710_UHM18.35741__k141_76782_3	NA
over1717.1710_UHM20.35744__k141_209451_3	NA
over1717.1710_UHM22.35747__k141_61929_186	NA
over1717.1710_UHM27.10829__k141_2048_1	NA
over1717.1710_UHM38.35752__k141_45874_20	NA
over1717.1710_UHM38.35752__k141_204901_63	K01939
over1717.1710_UHM40.35755__k141_90295_82	NA
over1717.1710_UHM72.35763__k141_43581_7	NA
over1717.1710_UHM72.35763__k141_91357_1	K07483
over1717.1710_UHM72.35764__k141_3992_22	K03046
over1717.1710_UHM739.35775__k141_410925_1	K09768
over1717.1710_UHM102.35766__k141_80549_1	K19693
over1717.1710_UHM17.10826__k141_222296_1	K00957
over1717.1710_UHM18.35741__k141_54773_1	NA
over1717.1710_UHM18.35741__k141_101934_1	K01912
over1717.1710_UHM18.35742__k141_172200_54	NA
over1717.1710_UHM20.35744__k141_38459_3	NA
over1717.1710_UHM27.10829__k141_148146_2	K02895
over1717.1710_UHM31.35748__k141_43828_1	K07164
over1717.1710_UHM36.35750__k141_32077_2	K03521
over1717.1710_UHM40.35755__k141_150561_1	NA
over1717.1710_UHM72.35762__k141_120989_1	NA
over1717.1710_UHM145.35773__k141_49318_232	NA
over1717.1710_UHM17.35740__k141_89998_5	NA
over1717.1710_UHM18.35741__k141_30265_1	K17321
over1717.1710_UHM22.35746__k141_133847_2	NA
over1717.1710_UHM38.35752__k141_45874_22	K13043
over1717.1710_UHM56.35761__k141_110858_21	NA
over1717.1710_UHM56.35761__k141_88099_1	NA
over1717.1710_UHM72.35764__k141_62515_32	NA
over1717.1710_UHM72.35764__k141_13360_10	K01869
over1717.1710_UHM145.35771__k141_140099_4	K03544
over1717.1710_UHM145.35772__k141_102139_53	K04043
over1717.1710_UHM145.35773__k141_117562_3	K13735
over1717.1710_UHM145.35773__k141_7581_1	NA
over1717.1710_UHM18.35741__k141_9578_1	K01190
over1717.1710_UHM18.35741__k141_114134_1	NA
over1717.1710_UHM36.35750__k141_79637_1	NA
over1717.1710_UHM38.35752__k141_181670_1	K03406
over1717.1710_UHM38.35752__k141_20552_1	NA
over1717.1710_UHM38.35753__k141_120923_6	NA
over1717.1710_UHM72.35762__k141_100843_8	K02967
over1717.1710_UHM72.35762__k141_27433_1	K15536
over1717.1710_UHM72.35763__k141_77455_262	K16135
over1717.1710_UHM72.35763__k141_77455_262	K21742
over1717.1710_UHM72.35764__k141_5703_8	K03043
over1717.1710_UHM740.35774__k141_621947_1	K00891
over1717.1710_UHM145.35772__k141_106855_203	NA
over1717.1710_UHM20.35743__k141_85907_1	K07448
over1717.1710_UHM22.35745__k141_90457_91	K01676
over1717.1710_UHM22.35746__k141_153696_1	NA
over1717.1710_UHM22.35747__k141_42361_858	K01755
over1717.1710_UHM27.10829__k141_49381_3	K03791
over1717.1710_UHM36.35751__k141_80067_1	NA
over1717.1710_UHM38.10833__k141_58280_1	NA
over1717.1710_UHM38.35752__k141_75434_1	NA
over1717.1710_UHM40.35754__k141_102560_2	NA
over1717.1710_UHM43.10836__k141_17714_2	NA
over1717.1710_UHM72.35762__k141_90358_1	NA
over1717.1710_UHM102.35766__k141_66682_2	K03699
over1717.1710_UHM145.35771__k141_55522_1	NA
over1717.1710_UHM18.35742__k141_113254_24	K11103
over1717.1710_UHM20.35744__k141_111814_1	NA
over1717.1710_UHM38.10833__k141_29074_1	K01874
over1717.1710_UHM38.35752__k141_206461_1	K09011
over1717.1710_UHM38.35753__k141_269120_12	K09386
over1717.1710_UHM40.35754__k141_74217_3	NA
over1717.1710_UHM41.35756__k141_59145_1	NA
over1717.1710_UHM43.10836__k141_100305_11	K21966
over1717.1710_UHM72.35764__k141_102686_116	K00548
over1717.1710_UHM72.35764__k141_150738_1	K07677
over1717.1710_UHM102.35766__k141_2057_1	K03696
over1717.1710_UHM125.35769__k141_156255_1	NA
over1717.1710_UHM145.35771__k141_39219_2	NA
over1717.1710_UHM145.35773__k141_182563_1	NA
over1717.1710_UHM17.10826__k141_104687_6	K06132
over1717.1710_UHM18.35741__k141_45357_1	NA
over1717.1710_UHM20.35743__k141_128363_36	K01903
over1717.1710_UHM20.35743__k141_90921_2	K18707
over1717.1710_UHM20.35744__k141_122272_1	NA
over1717.1710_UHM22.35745__k141_62345_18	NA
over1717.1710_UHM22.35745__k141_18719_1	NA
over1717.1710_UHM22.35747__k141_117628_52	K00163
over1717.1710_UHM27.10829__k141_87505_1	NA
over1717.1710_UHM27.10829__k141_86023_1	NA
over1717.1710_UHM27.10829__k141_28882_1	NA
over1717.1710_UHM31.35749__k141_170808_5	K21394
over1717.1710_UHM36.35751__k141_26250_2	NA
over1717.1710_UHM40.35754__k141_11347_1	NA
over1717.1710_UHM72.35762__k141_48205_25	K00370
over1717.1710_UHM72.35764__k141_56701_23	K02041
over1717.1710_UHM72.35764__k141_21517_28	K07677
over1717.1710_UHM72.35764__k141_21517_28	K07679
under1717.1710_UHM102.35765__k141_81631_362	K03701
under1717.1710_UHM102.35765__k141_129721_49	K00639
under1717.1710_UHM102.35765__k141_13354_16	K03654
under1717.1710_UHM102.35765__k141_66392_172	K03169
under1717.1710_UHM102.35766__k141_43664_28	K01879
under1717.1710_UHM102.35766__k141_153062_51	NA
under1717.1710_UHM102.35766__k141_142425_26	K03569
under1717.1710_UHM102.35767__k141_220592_37	K25767
under1717.1710_UHM102.35767__k141_130019_8	K03043
under1717.1710_UHM125.35768__k141_31805_93	K12518
under1717.1710_UHM125.35768__k141_154779_57	NA
under1717.1710_UHM125.35768__k141_158109_184	NA
under1717.1710_UHM125.35769__k141_38392_19	NA
under1717.1710_UHM125.35770__k141_81730_133	K01176
under1717.1710_UHM125.35770__k141_81730_133	K01200
under1717.1710_UHM125.35770__k141_116528_24	K08300
under1717.1710_UHM125.35770__k141_302838_220	K03727
under1717.1710_UHM145.35771__k141_80636_3	K05559
under1717.1710_UHM145.35771__k141_80636_3	K05565
under1717.1710_UHM145.35771__k141_80636_3	K05566
under1717.1710_UHM145.35773__k141_98699_123	K01945
under1717.1710_UHM145.35773__k141_76505_134	NA
under1717.1710_UHM17.10826__k141_265484_69	NA
under1717.1710_UHM17.10826__k141_242830_26	NA
under1717.1710_UHM17.35739__k141_25806_177	K02996
under1717.1710_UHM17.35739__k141_9807_184	NA
under1717.1710_UHM17.35739__k141_80560_8	NA
under1717.1710_UHM17.35739__k141_1130_13	K03043
under1717.1710_UHM17.35740__k141_54758_63	NA
under1717.1710_UHM17.35740__k141_60786_18	K02406
under1717.1710_UHM17.35740__k141_97266_1	K05020
under1717.1710_UHM17.35740__k141_92493_132	NA
under1717.1710_UHM17.35740__k141_74932_1	NA
under1717.1710_UHM18.10827__k141_17964_156	NA
under1717.1710_UHM18.10827__k141_17964_188	K03070
under1717.1710_UHM18.10827__k141_10522_52	NA
under1717.1710_UHM18.10827__k141_139863_119	K02454
under1717.1710_UHM18.10827__k141_139863_119	K02652
under1717.1710_UHM18.10827__k141_69698_34	NA
under1717.1710_UHM18.35741__k141_42962_882	K01439
under1717.1710_UHM18.35741__k141_44881_3	K03607
under1717.1710_UHM18.35741__k141_54151_242	K00265
under1717.1710_UHM18.35742__k141_2182_470	K07734
under1717.1710_UHM18.35742__k141_190564_13	K07341
under1717.1710_UHM18.35742__k141_101568_262	NA
under1717.1710_UHM20.10828__k141_105106_79	NA
under1717.1710_UHM20.35743__k141_87951_35	NA
under1717.1710_UHM20.35743__k141_21732_31	K01952
under1717.1710_UHM20.35744__k141_65653_19	NA
under1717.1710_UHM20.35744__k141_164573_5	K11927
under1717.1710_UHM20.35744__k141_67634_3	NA
under1717.1710_UHM20.35744__k141_136046_60	K05366
under1717.1710_UHM22.35747__k141_45082_5	K07788
under1717.1710_UHM22.35747__k141_54051_2	K02621
under1717.1710_UHM22.35747__k141_35702_49	K02453
under1717.1710_UHM22.35747__k141_31716_3	K18138
under1717.1710_UHM27.10829__k141_182286_190	NA
under1717.1710_UHM27.10829__k141_178366_203	NA
under1717.1710_UHM31.10830__k141_6543_8	K14194
under1717.1710_UHM31.10830__k141_47165_139	K00370
under1717.1710_UHM31.10830__k141_31406_7	K02979
under1717.1710_UHM31.35749__k141_57495_97	K06213
under1717.1710_UHM31.35749__k141_180910_280	NA
under1717.1710_UHM33.10831__k141_113183_17	K13735
under1717.1710_UHM33.10831__k141_105609_81	NA
under1717.1710_UHM36.10832__k141_41565_2	NA
under1717.1710_UHM36.10832__k141_11473_59	K04758
under1717.1710_UHM36.35750__k141_53569_29	NA
under1717.1710_UHM38.35752__k141_165673_165	K04090
under1717.1710_UHM38.35752__k141_145035_76	K01584
under1717.1710_UHM38.35752__k141_102375_33	K18902
under1717.1710_UHM38.35752__k141_175873_66	K02314
under1717.1710_UHM38.35752__k141_161541_38	K01870
under1717.1710_UHM38.35753__k141_269833_36	K12373
under1717.1710_UHM40.10834__k141_85311_3	NA
under1717.1710_UHM40.10834__k141_112137_168	NA
under1717.1710_UHM40.35754__k141_17467_37	NA
under1717.1710_UHM40.35754__k141_28515_101	NA
under1717.1710_UHM40.35754__k141_132976_673	K03578
under1717.1710_UHM40.35755__k141_103700_234	K01595
under1717.1710_UHM40.35755__k141_9065_108	NA
under1717.1710_UHM41.10835__k141_53780_25	K01081
under1717.1710_UHM41.10835__k141_53780_25	K07004
under1717.1710_UHM41.10835__k141_54423_452	NA
under1717.1710_UHM41.35756__k141_124862_82	NA
under1717.1710_UHM41.35756__k141_124862_274	K05515
under1717.1710_UHM41.35757__k141_45979_118	NA
under1717.1710_UHM41.35757__k141_53497_41	K06894
under1717.1710_UHM41.35757__k141_114702_16	K03656
under1717.1710_UHM41.35757__k141_114702_16	K03657
under1717.1710_UHM43.10836__k141_128562_45	K01869
under1717.1710_UHM45.10838__k141_37491_57	K02674
under1717.1710_UHM45.35758__k141_218342_113	K00164
under1717.1710_UHM45.35759__k141_124332_10	NA
under1717.1710_UHM45.35759__k141_23548_76	K01139
under1717.1710_UHM72.35762__k141_40216_14	K03628
under1717.1710_UHM72.35764__k141_108498_2	K07277
under1717.1710_UHM102.35765__k141_91390_156	K09461
under1717.1710_UHM102.35765__k141_122146_151	K03529
under1717.1710_UHM102.35765__k141_147061_16	K19304
under1717.1710_UHM102.35766__k141_65053_4	NA
under1717.1710_UHM102.35767__k141_130019_9	K03046
under1717.1710_UHM102.35767__k141_199989_24	K25767
under1717.1710_UHM125.35768__k141_154779_26	NA
under1717.1710_UHM125.35768__k141_154779_58	NA
under1717.1710_UHM125.35769__k141_143000_65	K18303
under1717.1710_UHM125.35770__k141_267826_559	NA
under1717.1710_UHM125.35770__k141_250555_3	K07789
under1717.1710_UHM125.35770__k141_139530_2	K02230
under1717.1710_UHM17.10826__k141_104_37	K02049
under1717.1710_UHM17.10826__k141_47757_52	NA
under1717.1710_UHM17.35739__k141_100416_7	NA
under1717.1710_UHM17.35740__k141_81042_578	K00606
under1717.1710_UHM18.35741__k141_36982_14	K00239
under1717.1710_UHM18.35741__k141_92990_344	NA
under1717.1710_UHM18.35742__k141_35457_30	NA
under1717.1710_UHM18.35742__k141_193642_11	NA
under1717.1710_UHM18.35742__k141_57278_262	NA
under1717.1710_UHM20.35743__k141_54577_20	K02653
under1717.1710_UHM20.35743__k141_42964_90	NA
under1717.1710_UHM20.35743__k141_27113_25	NA
under1717.1710_UHM20.35744__k141_46087_1	K22187
under1717.1710_UHM20.35744__k141_138121_1	NA
under1717.1710_UHM22.35747__k141_36852_131	K01874
under1717.1710_UHM31.35749__k141_75103_285	NA
under1717.1710_UHM31.35749__k141_64545_8	NA
under1717.1710_UHM33.10831__k141_124006_35	NA
under1717.1710_UHM33.10831__k141_124006_99	NA
under1717.1710_UHM38.35752__k141_63442_80	K03802
under1717.1710_UHM38.35752__k141_217261_13	K00336
under1717.1710_UHM40.35754__k141_28515_38	NA
under1717.1710_UHM40.35755__k141_65019_14	K25767
under1717.1710_UHM40.35755__k141_50030_28	K02963
under1717.1710_UHM40.35755__k141_9065_77	NA
under1717.1710_UHM41.35756__k141_54660_45	K02034
under1717.1710_UHM41.35756__k141_54660_45	K12370
under1717.1710_UHM44.10837__k141_79712_61	NA
under1717.1710_UHM45.35759__k141_13582_2	K00627
under1717.1710_UHM56.35761__k141_22787_18	K02014
under1717.1710_UHM56.35761__k141_22787_18	K16088
under1717.1710_UHM56.35761__k141_92682_74	K03656
under1717.1710_UHM56.35761__k141_92682_74	K03657
under1717.1710_UHM102.35766__k141_65053_5	K14414
under1717.1710_UHM102.35766__k141_76658_12	NA
under1717.1710_UHM102.35767__k141_215718_457	NA
under1717.1710_UHM102.35767__k141_84817_105	K03445
under1717.1710_UHM125.35769__k141_201187_14	K04072
under1717.1710_UHM125.35769__k141_16599_330	NA
under1717.1710_UHM125.35770__k141_202982_20	NA
under1717.1710_UHM125.35770__k141_68409_16	NA
under1717.1710_UHM145.35773__k141_5351_228	K00626
under1717.1710_UHM145.35773__k141_5351_228	K00632
under1717.1710_UHM17.35740__k141_87660_203	K03217
under1717.1710_UHM18.35741__k141_126348_543	K00265
under1717.1710_UHM18.35742__k141_179467_228	K03723
under1717.1710_UHM20.35743__k141_84932_98	NA
under1717.1710_UHM20.35743__k141_23724_179	K12373
under1717.1710_UHM20.35744__k141_17182_37	K05970
under1717.1710_UHM22.35747__k141_6893_143	K02355
under1717.1710_UHM31.35749__k141_101326_4	K02014
under1717.1710_UHM31.35749__k141_101326_4	K16088
under1717.1710_UHM41.10835__k141_60015_33	NA
under1717.1710_UHM41.35756__k141_88404_293	NA
under1717.1710_UHM41.35757__k141_140523_27	K01955
under1717.1710_UHM41.35757__k141_46008_113	K03466
